1392;195;3;0.14
1392;195;4;0.138
1392;195;5;0.14
1392;195;6;0.145
1392;195;7;0.145
1392;195;1;0.157
1392;195;2;0.144
1392;195;46;0.137
1392;195;47;0.139
1392;195;48;0.138
1392;195;39;0.24
1392;195;40;0.253
1392;195;41;0.242
1392;195;42;0.247
1392;195;43;0.192
1392;195;44;0.135
1392;195;45;0.139
1392;195;19;0.13
1392;195;20;0.135
1392;195;8;0.144
1392;195;9;0.141
1392;195;10;0.142
1392;195;11;0.144
1392;195;12;0.148
1392;195;13;0.146
1392;195;14;0.135
1392;195;15;0.136
1392;195;16;1.957
1392;195;17;0.136
1392;195;18;0.134
1392;195;32;0.15
1392;195;33;0.15
1392;195;21;0.147
1392;195;22;0.144
1392;195;23;0.131
1392;195;24;0.165
1392;195;25;0.207
1392;195;26;0.14
1392;195;27;0.139
1392;195;28;0.139
1392;195;29;0.14
1392;195;30;0.135
1392;195;31;0.149
1392;195;36;0.247
1392;195;37;0.55
1392;195;34;0.175
1392;195;35;0.256
1392;195;38;0.265
1951;195;43;0.295
1951;195;44;0.173
1951;195;45;0.309
1951;195;46;0.273
1951;195;47;0.24
1951;195;48;0.173
1951;195;25;0.079
1951;195;26;0.108
1951;195;27;0.056
1951;195;28;0.014
1951;195;29;0.014
1951;195;30;0.063
1951;195;31;0.196
1951;195;32;0.064
1951;195;33;0.019
1951;195;34;0.59
1951;195;35;1.234
1951;195;36;0.419
1951;195;37;0.585
1951;195;38;0.084
1951;195;39;0.143
1951;195;40;0.087
1951;195;41;0.179
1951;195;42;0.143
1951;195;1;0.165
1951;195;2;0.112
1951;195;3;0.014
1951;195;4;0.014
1951;195;5;0.041
1951;195;6;0.115
1951;195;7;0.069
1951;195;8;0.014
1951;195;9;0.014
1951;195;10;0.035
1951;195;11;0.116
1951;195;12;0.073
1951;195;13;0.014
1951;195;14;0.014
1951;195;15;0.014
1951;195;16;0.11
1951;195;17;0.198
1951;195;18;0.049
1951;195;19;0.014
1951;195;20;0.025
1951;195;21;1.691
1951;195;22;1.837
1951;195;23;0.133
1951;195;24;0.014
1491;195;1;0.019
1491;195;2;0.112
1491;195;3;0.018
1491;195;4;0.011
1491;195;5;0.111
1491;195;6;0.018
1491;195;7;0.013
1491;195;8;0.115
1491;195;9;0.012
1491;195;10;0.011
1491;195;11;0.099
1491;195;12;0.026
1491;195;13;0.011
1491;195;14;0.098
1491;195;15;0.021
1491;195;16;0.01
1491;195;17;0.092
1491;195;18;0.023
1491;195;19;0.01
1491;195;20;0.349
1491;195;21;0.68
1491;195;22;0.543
1491;195;23;0.164
1491;195;24;0.046
1491;195;25;0.069
1491;195;26;0.704
1491;195;27;0.042
1491;195;28;0.011
1491;195;29;0.084
1491;195;30;0.052
1491;195;31;0.011
1491;195;32;0.074
1491;195;33;0.16
1491;195;34;0.353
1491;195;35;0.137
1491;195;36;0.114
1491;195;37;1.755
1491;195;38;1.768
1491;195;39;0.338
1491;195;40;0.399
1491;195;41;0.318
1491;195;42;1.292
1491;195;43;1.009
1491;195;44;0.874
1491;195;45;0.656
1491;195;46;0.025
1491;195;47;0.059
1491;195;48;0.072
1194;195;1;0.399
1194;195;2;0.305
1194;195;3;0.28
1194;195;4;0.245
1194;195;5;0.389
1194;195;6;0.102
1194;195;7;0.139
1194;195;8;0.102
1194;195;9;0.167
